@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
293,'2020/01/11 13:40:27:236',1,168.6875,291.765625,1
294,'2020/01/11 13:40:27:247',1,169.125,290.755188,1
295,'2020/01/11 13:40:27:257',1,169.125,289.239563,1
296,'2020/01/11 13:40:27:267',1,169.5625,288.229187,1
297,'2020/01/11 13:40:27:278',1,170,287.21875,1
298,'2020/01/11 13:40:27:288',1,170.875,286.208313,1
299,'2020/01/11 13:40:27:299',1,171.3125,285.197937,1
300,'2020/01/11 13:40:27:309',1,171.75,284.1875,1
301,'2020/01/11 13:40:27:319',1,172.625,283.682312,1
302,'2020/01/11 13:40:27:330',1,173.0625,282.671875,1
303,'2020/01/11 13:40:27:340',1,173.5,282.166687,1
304,'2020/01/11 13:40:27:350',1,174.375,281.661438,1
305,'2020/01/11 13:40:27:360',1,175.25,280.651062,1
306,'2020/01/11 13:40:27:371',1,176.125,280.145813,1
307,'2020/01/11 13:40:27:381',1,177,279.640625,1
308,'2020/01/11 13:40:27:391',1,178.75,279.135437,1
309,'2020/01/11 13:40:27:401',1,180.0625,278.125,1
310,'2020/01/11 13:40:27:412',1,181.8125,276.609375,1
311,'2020/01/11 13:40:27:422',1,183.125,275.598938,1
312,'2020/01/11 13:40:27:432',1,184.4375,275.09375,1
313,'2020/01/11 13:40:27:443',1,186.625,274.083313,1
314,'2020/01/11 13:40:27:453',1,188.375,273.072937,1
315,'2020/01/11 13:40:27:464',1,189.6875,272.567688,1
316,'2020/01/11 13:40:27:474',1,191,271.557312,1
317,'2020/01/11 13:40:27:484',1,192.75,271.052063,1
318,'2020/01/11 13:40:27:495',1,194.5,270.546875,1
319,'2020/01/11 13:40:27:505',1,197.125,269.536438,1
320,'2020/01/11 13:40:27:515',1,198,268.526062,1
321,'2020/01/11 13:40:27:526',1,199.3125,268.020813,1
322,'2020/01/11 13:40:27:536',1,199.3125,268.020813,1
323,'2020/01/11 13:40:27:546',1,201.0625,267.515625,1
324,'2020/01/11 13:40:27:557',1,201.9375,267.010437,1
325,'2020/01/11 13:40:27:567',1,205,266,1
326,'2020/01/11 13:40:27:578',1,207.1875,265.494781,1
327,'2020/01/11 13:40:27:588',1,208.9375,265.494781,1
328,'2020/01/11 13:40:27:598',1,208.9375,265.494781,1
329,'2020/01/11 13:40:27:608',1,210.25,264.989594,1
330,'2020/01/11 13:40:27:619',1,212,264.989594,1
331,'2020/01/11 13:40:27:629',1,215.0625,263.473969,1
332,'2020/01/11 13:40:27:639',1,215.9375,262.96875,1
333,'2020/01/11 13:40:27:649',1,215.9375,262.463531,1
334,'2020/01/11 13:40:27:660',1,216.375,262.463531,1
335,'2020/01/11 13:40:27:670',1,217.6875,262.463531,1
336,'2020/01/11 13:40:27:680',1,219,262.96875,1
337,'2020/01/11 13:40:27:691',1,219.875,263.473969,1
338,'2020/01/11 13:40:27:701',1,220.3125,264.484375,1
339,'2020/01/11 13:40:27:711',1,221.625,265.494781,1
340,'2020/01/11 13:40:27:722',1,222.5,266.505188,1
341,'2020/01/11 13:40:27:732',1,223.375,267.515625,1
342,'2020/01/11 13:40:27:742',1,222.9375,268.526062,1
343,'2020/01/11 13:40:27:753',1,223.375,269.03125,1
344,'2020/01/11 13:40:27:763',1,222.9375,269.536438,1
345,'2020/01/11 13:40:27:773',1,222.9375,270.041687,1
346,'2020/01/11 13:40:27:784',1,223.375,271.052063,1
347,'2020/01/11 13:40:27:794',1,223.375,271.557312,1
348,'2020/01/11 13:40:27:804',1,222.9375,272.567688,1
349,'2020/01/11 13:40:27:814',1,223.375,273.578125,1
350,'2020/01/11 13:40:27:825',1,223.8125,274.083313,1
351,'2020/01/11 13:40:27:835',1,224.25,274.588562,1
352,'2020/01/11 13:40:27:845',1,224.6875,275.09375,1
353,'2020/01/11 13:40:27:856',1,224.25,276.104187,1
354,'2020/01/11 13:40:27:866',1,223.8125,276.609375,1
355,'2020/01/11 13:40:27:877',1,223.8125,277.114563,1
356,'2020/01/11 13:40:27:887',1,223.375,277.619812,1
357,'2020/01/11 13:40:27:897',1,223.375,278.630188,1
358,'2020/01/11 13:40:27:908',1,222.9375,280.145813,1
359,'2020/01/11 13:40:27:918',1,222.5,281.15625,1
360,'2020/01/11 13:40:27:928',1,222.5,282.166687,1
361,'2020/01/11 13:40:27:939',1,222.5,283.177063,1
362,'2020/01/11 13:40:27:949',1,221.1875,284.1875,1
363,'2020/01/11 13:40:27:959',1,219.875,284.692688,1
364,'2020/01/11 13:40:27:970',1,219.4375,285.197937,1
365,'2020/01/11 13:40:27:980',1,218.5625,286.208313,1
366,'2020/01/11 13:40:27:991',1,218.5625,286.713562,1
367,'2020/01/11 13:40:28:001',1,342.375,280.651062,1
368,'2020/01/11 13:40:28:011',1,215.5,290.25,1
369,'2020/01/11 13:40:28:021',1,215.5,290.25,1
370,'2020/01/11 13:40:28:032',1,523.0625,290.755188,1
371,'2020/01/11 13:40:28:042',1,213.3125,291.765625,1
372,'2020/01/11 13:40:28:052',1,212.4375,291.765625,1
373,'2020/01/11 13:40:28:062',1,211.5625,292.776062,1
374,'2020/01/11 13:40:28:073',1,210.6875,293.786438,1
375,'2020/01/11 13:40:28:083',1,209.8125,294.291687,1
376,'2020/01/11 13:40:28:093',1,208.9375,294.796875,1
377,'2020/01/11 13:40:28:104',1,208.5,295.302063,1
378,'2020/01/11 13:40:28:114',1,207.625,295.807312,1
379,'2020/01/11 13:40:28:124',1,206.3125,296.817688,1
380,'2020/01/11 13:40:28:135',1,205.4375,296.817688,1
381,'2020/01/11 13:40:28:145',1,205,297.322937,1
382,'2020/01/11 13:40:28:155',1,204.125,297.322937,1
383,'2020/01/11 13:40:28:165',1,203.6875,297.322937,1
384,'2020/01/11 13:40:28:176',1,202.375,297.322937,1
385,'2020/01/11 13:40:28:186',1,201.5,297.828125,1
386,'2020/01/11 13:40:28:196',1,201.0625,297.828125,1
387,'2020/01/11 13:40:28:206',1,200.1875,297.322937,1
388,'2020/01/11 13:40:28:217',1,199.3125,297.322937,1
389,'2020/01/11 13:40:28:227',1,198.4375,296.817688,1
390,'2020/01/11 13:40:28:237',1,197.5625,296.3125,1
391,'2020/01/11 13:40:28:247',1,197.5625,295.302063,1
392,'2020/01/11 13:40:28:258',1,197.5625,294.796875,1
393,'2020/01/11 13:40:28:268',1,196.6875,293.786438,1
394,'2020/01/11 13:40:28:278',1,196.25,292.776062,1
395,'2020/01/11 13:40:28:289',1,195.8125,291.260437,1
396,'2020/01/11 13:40:28:299',1,194.9375,289.239563,1
397,'2020/01/11 13:40:28:309',1,194.0625,287.723938,1
398,'2020/01/11 13:40:28:320',1,194.0625,286.208313,1
399,'2020/01/11 13:40:28:330',1,193.1875,284.692688,1
