@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
15206,'2020/01/11 01:54:54:044',7,346.75,188.703125,1
15207,'2020/01/11 01:54:54:054',7,346.75,188.703125,1
15208,'2020/01/11 01:54:54:064',7,346.75,189.208344,1
15209,'2020/01/11 01:54:54:075',7,345.875,189.208344,1
15210,'2020/01/11 01:54:54:085',7,345.4375,189.208344,1
15211,'2020/01/11 01:54:54:096',7,344.5625,189.208344,1
15212,'2020/01/11 01:54:54:106',7,344.125,188.197906,1
15213,'2020/01/11 01:54:54:117',7,344.5625,187.692719,1
15214,'2020/01/11 01:54:54:127',7,345,187.1875,1
15215,'2020/01/11 01:54:54:137',7,345,186.682281,1
15216,'2020/01/11 01:54:54:148',7,345.4375,186.682281,1
15217,'2020/01/11 01:54:54:158',7,346.3125,186.177094,1
15218,'2020/01/11 01:54:54:168',7,346.75,185.671875,1
15219,'2020/01/11 01:54:54:179',7,346.75,185.166656,1
15220,'2020/01/11 01:54:54:189',7,346.75,184.661469,1
15221,'2020/01/11 01:54:54:200',7,346.75,184.15625,1
15222,'2020/01/11 01:54:54:210',7,346.75,183.651031,1
15223,'2020/01/11 01:54:54:220',7,346.3125,182.640625,1
15224,'2020/01/11 01:54:54:231',7,346.3125,182.135406,1
15225,'2020/01/11 01:54:54:241',7,346.75,181.630219,1
15226,'2020/01/11 01:54:54:252',7,346.75,181.125,1
15227,'2020/01/11 01:54:54:262',7,347.1875,180.619781,1
15228,'2020/01/11 01:54:54:273',7,347.1875,180.114594,1
15229,'2020/01/11 01:54:54:284',7,347.625,179.104156,1
15230,'2020/01/11 01:54:54:294',7,348.0625,178.09375,1
15231,'2020/01/11 01:54:54:304',7,348.0625,177.083344,1
15232,'2020/01/11 01:54:54:315',7,348.0625,176.072906,1
15233,'2020/01/11 01:54:54:325',7,348.0625,175.567719,1
15234,'2020/01/11 01:54:56:941',7,455.6875,135.151047,2
15235,'2020/01/11 01:54:56:951',7,523.5,72,2
15236,'2020/01/11 01:54:56:962',7,455.6875,134.645828,2
15237,'2020/01/11 01:54:56:972',7,455.6875,134.140625,2
15238,'2020/01/11 01:54:56:983',7,455.6875,134.140625,2
15239,'2020/01/11 01:54:56:993',7,454.8125,132.625,2
15240,'2020/01/11 01:54:57:003',7,453.9375,132.119797,2
15241,'2020/01/11 01:54:57:013',7,452.625,129.59375,2
15242,'2020/01/11 01:54:57:024',7,452.1875,129.088547,2
15243,'2020/01/11 01:54:57:034',7,451.75,128.078125,2
15244,'2020/01/11 01:54:57:045',7,451.75,128.078125,2
15245,'2020/01/11 01:54:57:055',7,451.75,128.078125,2
15246,'2020/01/11 01:54:57:066',7,452.625,128.583328,2
15247,'2020/01/11 01:54:57:076',7,452.625,128.583328,2
15248,'2020/01/11 01:54:57:086',7,452.625,128.583328,2
15249,'2020/01/11 01:54:57:097',7,452.625,128.078125,2
15250,'2020/01/11 01:54:57:107',7,452.1875,126.5625,2
